"project_id","source_absolute_path","source_relative_path","source_sha256","destination_absolute_path","destination_relative_path","destination_sha256","hash_match","purpose"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\HANDOFF.md","HANDOFF.md","971e34f50b31ec7ad9b25abc724f77e6eb26850a0cc6e268cf707e0f7ed4af19","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_design_iter01\reference\upstream_snapshots\model_error\HANDOFF.md","reference\upstream_snapshots\model_error\HANDOFF.md","971e34f50b31ec7ad9b25abc724f77e6eb26850a0cc6e268cf707e0f7ed4af19","True","frozen read-only evidence"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\README.md","README.md","99f44bdc920fad4b72cf3816553a5ea65ae0800472523c6062c5413a021de854","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_design_iter01\reference\upstream_snapshots\model_error\README.md","reference\upstream_snapshots\model_error\README.md","99f44bdc920fad4b72cf3816553a5ea65ae0800472523c6062c5413a021de854","True","frozen read-only evidence"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\docs\MODEL_ERROR_DECOMPOSITION_REPORT.md","docs\MODEL_ERROR_DECOMPOSITION_REPORT.md","e0fcbb958972a637790ed542756e04fb013175f8ba19b759f7498b5f183d7536","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_design_iter01\reference\upstream_snapshots\model_error\docs\MODEL_ERROR_DECOMPOSITION_REPORT.md","reference\upstream_snapshots\model_error\docs\MODEL_ERROR_DECOMPOSITION_REPORT.md","e0fcbb958972a637790ed542756e04fb013175f8ba19b759f7498b5f183d7536","True","frozen read-only evidence"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\docs\ORIGINAL_PREDICTOR_DEFINITION.md","docs\ORIGINAL_PREDICTOR_DEFINITION.md","1f7bf54ce51d24055b561c08c082b76e2d3f7a37cf2359a6f197193988a87733","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_design_iter01\reference\upstream_snapshots\model_error\docs\ORIGINAL_PREDICTOR_DEFINITION.md","reference\upstream_snapshots\model_error\docs\ORIGINAL_PREDICTOR_DEFINITION.md","1f7bf54ce51d24055b561c08c082b76e2d3f7a37cf2359a6f197193988a87733","True","frozen read-only evidence"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\docs\ORACLE_PREDICTOR_DEFINITION.md","docs\ORACLE_PREDICTOR_DEFINITION.md","6efaede2f1ff1b5428f93609db6bab328170b4e33751ff758658c4607890a21f","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_design_iter01\reference\upstream_snapshots\model_error\docs\ORACLE_PREDICTOR_DEFINITION.md","reference\upstream_snapshots\model_error\docs\ORACLE_PREDICTOR_DEFINITION.md","6efaede2f1ff1b5428f93609db6bab328170b4e33751ff758658c4607890a21f","True","frozen read-only evidence"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\docs\TIMING_ALIGNMENT_AUDIT.md","docs\TIMING_ALIGNMENT_AUDIT.md","bb2290d10afef3bec8ee9927d3d16cea887b19b47040e39ba0c6a4b2dd86a771","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_design_iter01\reference\upstream_snapshots\model_error\docs\TIMING_ALIGNMENT_AUDIT.md","reference\upstream_snapshots\model_error\docs\TIMING_ALIGNMENT_AUDIT.md","bb2290d10afef3bec8ee9927d3d16cea887b19b47040e39ba0c6a4b2dd86a771","True","frozen read-only evidence"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\results\summary\final_decision.csv","results\summary\final_decision.csv","223ae671d377113d8ea8839efec6f9fd51487c38718bcd2d281059fb344acbc3","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_design_iter01\reference\upstream_snapshots\model_error\results\summary\final_decision.csv","reference\upstream_snapshots\model_error\results\summary\final_decision.csv","223ae671d377113d8ea8839efec6f9fd51487c38718bcd2d281059fb344acbc3","True","frozen read-only evidence"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\results\summary\predictor_metrics.csv","results\summary\predictor_metrics.csv","725cca63b7db2fe5f744cd38a8a5299fbc247ba9b6516a0acaf18bdef4b76dcd","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_design_iter01\reference\upstream_snapshots\model_error\results\summary\predictor_metrics.csv","reference\upstream_snapshots\model_error\results\summary\predictor_metrics.csv","725cca63b7db2fe5f744cd38a8a5299fbc247ba9b6516a0acaf18bdef4b76dcd","True","frozen read-only evidence"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\results\summary\error_source_contribution.csv","results\summary\error_source_contribution.csv","60e5f5d15ee743207fe60489bb71c303044077c71bafceee07d7245f3b4a8174","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_design_iter01\reference\upstream_snapshots\model_error\results\summary\error_source_contribution.csv","reference\upstream_snapshots\model_error\results\summary\error_source_contribution.csv","60e5f5d15ee743207fe60489bb71c303044077c71bafceee07d7245f3b4a8174","True","frozen read-only evidence"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\results\summary\predictor_candidate_comparison.csv","results\summary\predictor_candidate_comparison.csv","f054805eab8ddedb4f26f36200f64062f326ad8a9ca7589f79b215a082a46ad4","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_design_iter01\reference\upstream_snapshots\model_error\results\summary\predictor_candidate_comparison.csv","reference\upstream_snapshots\model_error\results\summary\predictor_candidate_comparison.csv","f054805eab8ddedb4f26f36200f64062f326ad8a9ca7589f79b215a082a46ad4","True","frozen read-only evidence"
