source_path,destination_path,bytes,source_sha256,destination_sha256,byte_identical
C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\results\raw\model_error_samples.csv,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_periodic_residual_audit_iter01\reference\frozen_data\model_error_samples.csv,57435751,4bb73a94e42669d40f3776a722f3c43c3861647f02c6fb8c477c62110051c592,4bb73a94e42669d40f3776a722f3c43c3861647f02c6fb8c477c62110051c592,1
C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\results\raw\closed_loop_samples_B0.csv,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_periodic_residual_audit_iter01\reference\frozen_data\prototype_closed_loop_samples_B0.csv,4637334,d6a9866c461fd60a2e5fc1c71fe90104dfbcaf7396656060e9b3d26f2d571471,d6a9866c461fd60a2e5fc1c71fe90104dfbcaf7396656060e9b3d26f2d571471,1
C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\HANDOFF.md,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_periodic_residual_audit_iter01\reference\frozen_evidence\model_error\HANDOFF.md,11932,971e34f50b31ec7ad9b25abc724f77e6eb26850a0cc6e268cf707e0f7ed4af19,971e34f50b31ec7ad9b25abc724f77e6eb26850a0cc6e268cf707e0f7ed4af19,1
C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\docs\MODEL_ERROR_DECOMPOSITION_REPORT.md,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_periodic_residual_audit_iter01\reference\frozen_evidence\model_error\MODEL_ERROR_DECOMPOSITION_REPORT.md,16658,e0fcbb958972a637790ed542756e04fb013175f8ba19b759f7498b5f183d7536,e0fcbb958972a637790ed542756e04fb013175f8ba19b759f7498b5f183d7536,1
C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\docs\TIMING_ALIGNMENT_AUDIT.md,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_periodic_residual_audit_iter01\reference\frozen_evidence\model_error\TIMING_ALIGNMENT_AUDIT.md,4184,bb2290d10afef3bec8ee9927d3d16cea887b19b47040e39ba0c6a4b2dd86a771,bb2290d10afef3bec8ee9927d3d16cea887b19b47040e39ba0c6a4b2dd86a771,1
C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\results\summary\predictor_metrics.csv,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_periodic_residual_audit_iter01\reference\frozen_evidence\model_error\predictor_metrics.csv,125224,725cca63b7db2fe5f744cd38a8a5299fbc247ba9b6516a0acaf18bdef4b76dcd,725cca63b7db2fe5f744cd38a8a5299fbc247ba9b6516a0acaf18bdef4b76dcd,1
C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\results\summary\residual_spectrum.csv,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_periodic_residual_audit_iter01\reference\frozen_evidence\model_error\residual_spectrum.csv,105812,5ac25182e3fe28e9661276a15237a2bd87e6ed97a7287bb0e55ce79f7bbf5e65,5ac25182e3fe28e9661276a15237a2bd87e6ed97a7287bb0e55ce79f7bbf5e65,1
C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\results\summary\case_classification.csv,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_periodic_residual_audit_iter01\reference\frozen_evidence\model_error\case_classification.csv,3501,f99dd72d1038b2f67f5210484e02a4907b1a0d4ec1f2aa47a97e73aca4e83d49,f99dd72d1038b2f67f5210484e02a4907b1a0d4ec1f2aa47a97e73aca4e83d49,1
C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\results\summary\baseline_comparison.csv,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_periodic_residual_audit_iter01\reference\frozen_evidence\model_error\baseline_comparison.csv,827,80cfa8222d358df1bb41ba7c2053fdf6c68b13deea9e6818038176fdcb1711a7,80cfa8222d358df1bb41ba7c2053fdf6c68b13deea9e6818038176fdcb1711a7,1
C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\config\model_error_parameters.m,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_periodic_residual_audit_iter01\reference\frozen_evidence\model_error\model_error_parameters.m,676,7f33f9508b95357c2c88805d0b88cd2c956344ced3c01a78c853c603bd872690,7f33f9508b95357c2c88805d0b88cd2c956344ced3c01a78c853c603bd872690,1
C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\reference\upstream_snapshots\zhou_icf_mpc_model_error_decomposition_iter01\src\+zhou_model_error\decompose_simulation.m,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_periodic_residual_audit_iter01\reference\frozen_evidence\model_error\decompose_simulation.m,12471,1521b9eeaa8cd38591176a679f04a2242fa22a7222567a2cd3f56e9737f6205a,1521b9eeaa8cd38591176a679f04a2242fa22a7222567a2cd3f56e9737f6205a,1
C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\README.md,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_periodic_residual_audit_iter01\reference\frozen_evidence\dual_prototype\README.md,597,c1cf619d368a90153a9e66df676b23e4803fab7a331222a9be6fa778182b8a70,c1cf619d368a90153a9e66df676b23e4803fab7a331222a9be6fa778182b8a70,1
C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\HANDOFF.md,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_periodic_residual_audit_iter01\reference\frozen_evidence\dual_prototype\HANDOFF.md,2365,14b28c0e0bf631cab981a0c447cdc575584570ebcdcd83a5a662ce118ccaeaf2,14b28c0e0bf631cab981a0c447cdc575584570ebcdcd83a5a662ce118ccaeaf2,1
C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\docs\FINAL_PROTOTYPE_REPORT.md,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_periodic_residual_audit_iter01\reference\frozen_evidence\dual_prototype\FINAL_PROTOTYPE_REPORT.md,894,73b161483f54be51796fed370c1a168ae562cbbaea7d00d40c700fc21536422e,73b161483f54be51796fed370c1a168ae562cbbaea7d00d40c700fc21536422e,1
C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\docs\BASELINE_REPRODUCTION_REPORT.md,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_periodic_residual_audit_iter01\reference\frozen_evidence\dual_prototype\BASELINE_REPRODUCTION_REPORT.md,302,12a844433e8c2fe8e54909bdd31ec8a0047386772fa5abd2fc51df9af3a8ea38,12a844433e8c2fe8e54909bdd31ec8a0047386772fa5abd2fc51df9af3a8ea38,1
C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_dual_timescale_prototype_iter01\results\summary\final_decision.csv,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_periodic_residual_audit_iter01\reference\frozen_evidence\dual_prototype\final_decision.csv,506,f2109107d6abe9fbb585db7553c51c435cbba2cdc1e56397700170f51e85c6c2,f2109107d6abe9fbb585db7553c51c435cbba2cdc1e56397700170f51e85c6c2,1
